network_type,sim_run,round,reach,forwarding_rate,mcr,false_reach_count,average_reputation
erdos_renyi,0,111,0.98,0.2755102040816326,0.0,0,1.8529307621707505
erdos_renyi,0,112,1.0,0.52,0.0,0,1.8529307621707505
erdos_renyi,0,113,0.99,0.40404040404040403,0.0,0,2.0429307621707506
erdos_renyi,0,114,1.0,0.5,0.5,100,1.859287677318748
erdos_renyi,0,115,0.79,0.13924050632911392,0.0,0,1.9092876773187482
erdos_renyi,0,116,0.74,0.13513513513513514,0.13513513513513514,74,1.9092876773187482
erdos_renyi,0,117,0.63,0.1111111111111111,0.0,0,1.9092876773187482
erdos_renyi,0,118,0.99,0.36363636363636365,0.0,0,1.9092876773187482
erdos_renyi,0,119,0.9,0.18888888888888888,0.0,0,1.9092876773187482
erdos_renyi,0,120,0.99,0.4444444444444444,0.4444444444444444,99,1.6394096248784675
erdos_renyi,0,121,0.93,0.22580645161290322,0.22580645161290322,93,1.5053783039064197
erdos_renyi,0,122,1.0,0.41,0.41,100,1.3533510490260443
erdos_renyi,0,123,0.92,0.1956521739130435,0.0,0,1.4383510490260443
erdos_renyi,0,124,1.0,0.5,0.5,100,1.4383510490260443
erdos_renyi,0,125,1.0,0.4,0.4,100,1.3222547327952512
erdos_renyi,0,126,0.94,0.22340425531914893,0.22340425531914893,94,1.3222547327952512
erdos_renyi,0,127,0.94,0.22340425531914893,0.22340425531914893,94,1.3222547327952512
erdos_renyi,0,128,0.95,0.23157894736842105,0.0,0,1.4272547327952514
erdos_renyi,0,129,1.0,0.4,0.0,0,1.4272547327952514
erdos_renyi,0,130,0.99,0.36363636363636365,0.0,0,1.5972547327952515
erdos_renyi,0,131,0.79,0.13924050632911392,0.0,0,1.5972547327952515
erdos_renyi,0,132,0.93,0.20430107526881722,0.20430107526881722,93,1.5972547327952515
erdos_renyi,0,133,0.66,0.12121212121212122,0.0,0,1.5972547327952515
erdos_renyi,0,134,0.89,0.15730337078651685,0.0,0,1.5972547327952515
erdos_renyi,0,135,0.97,0.3402061855670103,0.0,0,1.7672547327952515
erdos_renyi,0,136,0.97,0.29896907216494845,0.29896907216494845,97,1.6598154542400012
erdos_renyi,0,137,0.63,0.1111111111111111,0.0,0,1.6948154542400014
erdos_renyi,0,138,1.0,0.56,0.0,0,1.6948154542400014
erdos_renyi,0,139,0.9,0.18888888888888888,0.0,0,1.7698154542400013
erdos_renyi,0,140,0.63,0.1111111111111111,0.0,0,1.7698154542400013
erdos_renyi,0,141,0.99,0.47474747474747475,0.0,0,1.9998154542400013
erdos_renyi,0,142,0.63,0.1111111111111111,0.0,0,2.034815454240001
erdos_renyi,0,143,0.93,0.20430107526881722,0.0,0,2.034815454240001
erdos_renyi,0,144,1.0,0.46,0.0,0,2.034815454240001
erdos_renyi,0,145,0.63,0.1111111111111111,0.1111111111111111,63,2.00345801188944
erdos_renyi,0,146,1.0,0.56,0.56,100,2.00345801188944
erdos_renyi,0,147,0.95,0.24210526315789474,0.24210526315789474,95,1.9194274855404976
erdos_renyi,0,148,0.99,0.31313131313131315,0.31313131313131315,99,1.9194274855404976
erdos_renyi,0,149,0.63,0.1111111111111111,0.0,0,1.9544274855404973
erdos_renyi,0,150,0.93,0.20430107526881722,0.0,0,1.9544274855404973
erdos_renyi,0,151,0.99,0.32323232323232326,0.32323232323232326,99,1.9544274855404973
erdos_renyi,0,152,1.0,0.55,0.55,100,1.734957692244227
erdos_renyi,0,153,0.92,0.18478260869565216,0.18478260869565216,92,1.6857206184809272
erdos_renyi,0,154,0.9,0.18888888888888888,0.0,0,1.6857206184809272
erdos_renyi,0,155,0.99,0.494949494949495,0.0,0,1.6857206184809272
erdos_renyi,0,156,0.79,0.13924050632911392,0.0,0,1.735720618480927
erdos_renyi,0,157,1.0,0.38,0.38,100,1.735720618480927
